post,is_stress,stress_kind
currently my relationship but i'm working on it.,Yes,Other
Currently not being able to see my girlfriend is stressing me out slightly.,Yes,Work
Currently stressing about the COVID-19 as I have been unemployed for two weeks.,Yes,Financial Problem
"cut to part time, can't pay rent or bills, feel terrible",Yes,Financial Problem
darn lazy ass people at work. feed up with seeing people talking and not wo,Yes,Work
deadline,Yes,Work
deadlines,Yes,Work
deadlines for all my courses,Yes,School
Dealing with Ali is stressing me out.,Yes,Family Issues
dealing with anxiety from the stress of car repair and being unemployed.,Yes,Financial Problem
dealing with finding a daycare for my daughter,Yes,Family Issues
dealing with grief following the death of both my grandparents last month,Yes,Family Issues
dealing with illness along with my wife,Yes,"Health, Fatigue, or Physical Pain"
dealing with my coworkers everyday with their annoying habits,Yes,Work
dealing with my husband's heal issues and his problems with the va is always stressful,Yes,Family Issues
dealing with my lawyer,Yes,Emotional Turmoil
Dealing with my Lupus flares,Yes,"Health, Fatigue, or Physical Pain"
Dealing with people have not been the easiest thing for me lately.,Yes,Social Relationships
Dealing with right-wing syncophants and trolls online and in social media has been hard.,Yes,Emotional Turmoil
dealing with that woman at work,Yes,Work
dealing with the death of my father,Yes,Family Issues
dealing with this coronavirus and not being able to have family and friends over,Yes,"Health, Fatigue, or Physical Pain"
death in the famy,Yes,Family Issues
debt payments,Yes,Financial Problem
deciding if i should work out or not,Yes,"Health, Fatigue, or Physical Pain"
Deciding wether or not to return back to school,Yes,School
deciding what to make for dinner,No,Everyday Decision Making
definitely all the bills I have to pay,Yes,Financial Problem
definitely my work has been stressing me out big time!,Yes,Work
Definitely the COVID-19 Global outbreak that requires being Quarantined,Yes,Emotional Turmoil
"didn't have the money to enroll for classes until today, yikes",Yes,Financial Problem
difficult people at work,Yes,Work
Difficulty installing security protection on multiple devices.,Yes,Other
disease is killing people,Yes,"Health, Fatigue, or Physical Pain"
do you have time to talk,Yes,Everyday Decision Making
do you wanna talk about it?,No,Other
donald trump and the republicans are destroying our democracy,Yes,Other
don't know what to cook for dinner,Yes,Emotional Turmoil
driving 2 work really sucks,Yes,Work
driving my kids all over town is getting crazy and really stressing me out,Yes,"Health, Fatigue, or Physical Pain"
"dude i am so stressed out about moving to nevada , i hate it.",Yes,Emotional Turmoil
dude waaaaazzzz uuuup.,No,Family Issues
dude work has been kicking my butt lol,Yes,Work
"Dude, I've been so worried about online classes LOL",Yes,School
due to certain circumstances that have donned on me it has been tough to meet financial,Yes,Financial Problem
due to lack of sleep i am feeling stressful,Yes,Emotional Turmoil
"due to the corona virus, i must stay home. it means i get no salary",Yes,Work
"Due to the coronavirus, I no longer have a job, it is scary.",Yes,Work
eating well,Yes,"Health, Fatigue, or Physical Pain"
enough money for retirement,Yes,Financial Problem
essays are piling up and i'm drowning in them.,Yes,School
"even though i did a good job, i worry my boss won't give a good recommendation.",Yes,Work
every day is stress in current work situation steve needs to retire.,Yes,Work
every time i turn on the news and social media facebook it seems to stress me out,Yes,"Health, Fatigue, or Physical Pain"
everyone being in my space while stuck at home,Yes,Work
everyone is getting promoted at work except me.,Yes,Work
Everything about this virus is stressing me out.,Yes,"Health, Fatigue, or Physical Pain"
"everything at work is. i have stacks of papers to finish, and no time to do so. ugh",Yes,Work
"everything at work, just generally what is expected of me.",Yes,Work
everything because of my current anxiety and bad depression.,Yes,Everyday Decision Making
everything stress me out,Yes,Other
everything stresses me out lately.,Yes,Financial Problem
"everything that has been going on that i explained to you, its all overwhelming me.",Yes,Financial Problem
Everything that's happening with corona virus is making me nervous.,Yes,"Health, Fatigue, or Physical Pain"
Everything will be just fine. Just stick with it,No,Work
"everything. i'm so overwhelmed, no help, no time urgggg",Yes,"Health, Fatigue, or Physical Pain"
family,Yes,Family Issues
family coming for a visit. they have special diets-i am nervous about cooking.,Yes,Emotional Turmoil
"family drama mostly, having to deal with the kid.",Yes,Family Issues
"family expectations, they want me to visit when they think it convenient.",Yes,Family Issues
Family home all day. No me time. Too much noise. Can't work easily.,Yes,Family Issues
"family is driving me crazy, think i need a break!",Yes,Family Issues
family stress.,Yes,Family Issues
Fear about the virus and my job.,Yes,Other
feeling alone and that i am not part of anything,Yes,Emotional Turmoil
feeling bad about myself,Yes,Emotional Turmoil
feeling inadequate at work/doubting what occupation fits for me,Yes,Work
feeling insecure about my short hair,Yes,Social Relationships
feeling lonely,Yes,Social Relationships
feeling overwhelmed,Yes,"Health, Fatigue, or Physical Pain"
feels like everything all at once,Yes,Family Issues
fellow employees at work,Yes,Social Relationships
Figuring out a long term job during the pandemic,Yes,Work
figuring out how to handle play dates with my kids,Yes,Family Issues
Figuring out to work from home,Yes,Work
figuring out what classes i want to take,Yes,School
figuring out where to go fruit picking tomorrow,Yes,Emotional Turmoil
filing state taxes for my business.,Yes,Work
filled with work this week. don't want to miss the date.,Yes,Work
Finances,Yes,Financial Problem
finances are tight right now,Yes,Financial Problem
finances have been really stressing me out lately.,Yes,Financial Problem
finances have been stressing me out again,Yes,Financial Problem
"Finances, my dad got laid off and i'm only part time",Yes,Work
finances. i often think about how i'm going to live a comfortable life.,Yes,Financial Problem
financial constraints and so i need a well paying job,Yes,Financial Problem
financial issues are the main stressor in my life.,Yes,Financial Problem
financial issues have been getting to me,Yes,Financial Problem
financial problems and paying bills,Yes,Financial Problem
financial problems are starting to become annoying,Yes,Financial Problem
Financial problems have been getting me down lately.,Yes,Financial Problem
financial situation,Yes,Financial Problem
financial stress of being bread winner for my family is stressing me out.,Yes,Financial Problem
financial uncertainty and the stress it creates.,Yes,Financial Problem
finding a hard time covering my expenses and bills,Yes,Financial Problem
finding a job,Yes,Work
finding a job recently.,Yes,Work
finding a new job,Yes,Financial Problem
finding a new job with higher pay,Yes,Work
finding the finances for a birthday party after christmas,Yes,Financial Problem
finding the right job that'll make me happy and take me places.,Yes,Work
finding way to make money since noone is buying my  handmade jewelry,Yes,Financial Problem
finding work. it's been so difficult.,Yes,Work
flat tire,Yes,Other
Fried chicken mashed potatoes and gravy with baby peas and rolls,No,Financial Problem
friend drama,Yes,Emotional Turmoil
Friend! You are not alone! God loves you and wants to handle your burdens.,No,Work
From the coronavirus laid off from my serving job has created so much financial stress,Yes,Financial Problem
full time caregiving is hard i am always tired,Yes,"Health, Fatigue, or Physical Pain"
"fur real, my entire life. lol",No,Family Issues
gaining weight and just cannot seem to lose it.,Yes,"Health, Fatigue, or Physical Pain"
games,No,Emotional Turmoil
get out,No,Financial Problem
getting an internship this summer..,Yes,Work
Getting cabin fever due to coronavirus shutting things down.,Yes,Other
getting dinner ready for christmas was an incredible challenge!,Yes,Other
getting dinner ready for the holiday,Yes,Emotional Turmoil
getting ebola.,Yes,"Health, Fatigue, or Physical Pain"
getting everything done at work,Yes,Work
getting everything together to go to houston for a family members heart surgery.,Yes,Emotional Turmoil
getting injured at work and worried about living pay check to pay check,Yes,Financial Problem
Getting laid of due tot he virus,Yes,Work
"getting my body in better shape, especially tightening my stomach.",Yes,"Health, Fatigue, or Physical Pain"
getting my work done before the deadline with the holidays right around the corner.,Yes,Work
getting people to join my business.,Yes,Work
getting ready to travel to cancun!,No,Other
getting rid of clutter and making my home more cozy,Yes,Everyday Decision Making
getting texts about what's stressing me out!,Yes,Emotional Turmoil
getting the bus to work.,Yes,Work
getting to graduation with the best GPA possible,Yes,School
getting to my college classes this weekend,Yes,School
getting up early to go to church,No,"Health, Fatigue, or Physical Pain"
gf,Yes,Social Relationships
girl christmas is coming up and i dont have any money to buy my children anything.,Yes,Financial Problem
"girl i am at work , they are stressing me out over bread of the week.",Yes,Work
Girl I'm stressing out st work. Supervisor is driving me absolutely crazy!! HELP!!,Yes,Work
Girl tell me why my aunt (that lives) around the corner stole $20 from me.,Yes,Family Issues
"Girl, having AJ home all day while trying to wfm is stressing me out.",Yes,Work
"girl, i can't afford to pay my bills and i'm mentally exhausted.",Yes,Financial Problem
glad this day is over.,Yes,"Health, Fatigue, or Physical Pain"
global warming keeps getting worse and worse.,Yes,Other
going back to work,Yes,Work
Going out to the store and ppl sneezing without covering the mouth OMG,Yes,Everyday Decision Making
going through a divorce and my ex is trying to take my baby.,Yes,Family Issues
"going to doctor appointments, stress me out.",Yes,Work
going to my kid's school for a meeting,Yes,Family Issues
going to work tomorrow,Yes,School
got a bill to pay and not sure how :(,Yes,Financial Problem
got a load of work and am procrastinating,Yes,Work
Gotta love back home in the middle of the semester :/,Yes,School
grad school applications are killing me right now.,Yes,School
grad school is literally the worst,Yes,School
great stress about work,Yes,Emotional Turmoil
groceries,No,Social Relationships
Grocery shopping seem like a task this days,Yes,Everyday Decision Making
hai,No,Other
hai friend how are you many  use ful me,No,Family Issues
hai how are you,No,Work
half of my coworkers are leaving for new jobs.,Yes,Work
have been fighting with my girlfriend about moving to london.,Yes,Family Issues
have been having this issues resting after work like my whole body needs a massage,Yes,Work
"have been trying to clean and organize my closet, what a mess!",Yes,"Health, Fatigue, or Physical Pain"
have been trying to find online work that is simple but rewarding its been stressfu,Yes,Financial Problem
Have to use less toilet paper!,Yes,Everyday Decision Making
having 3 year old triplets,Yes,Everyday Decision Making
having a baby is stressful and currently out of a job.,Yes,Financial Problem
having a constant toothache,Yes,"Health, Fatigue, or Physical Pain"
having a hard time paying the bills,Yes,Financial Problem
"having a rough day, not feeling too well.",Yes,Work
Having absolutley no idea what I want to do with my life.,Yes,Emotional Turmoil
having enough money for the holidays,Yes,Financial Problem
having family issues,Yes,Family Issues
Having no job due to pandemic,Yes,Financial Problem
Having to be away from my family and friends due to the Corona Virus,Yes,Social Relationships
Having to be stuck at home. This quarantine is really messing with me.,Yes,"Health, Fatigue, or Physical Pain"
Having to deal with cutting staff at work.,Yes,Work
Having to go to work in the ER amidst all the virus drama.,Yes,Work
having to go to work tomorrow,Yes,Work
having to host christmas every year for adults that never reciprocate.,Yes,Emotional Turmoil
having to meet time deadlines at work.,Yes,Work
Having to pay my student loans,Yes,Financial Problem
having to replace the carpets in our living room.,Yes,Other
having to stay 6 feet away from everyone,Yes,Social Relationships
having to take care of 6 foster kittens. i'm exhausted!,Yes,"Health, Fatigue, or Physical Pain"
having to tell my boss i am quitting,Yes,Work
having to type messages on my phone.,Yes,Other
having to wake up early for work tomorrow,Yes,Work
Having to work from home and help the kids with school work.,Yes,Work
"Having trouble at work, dont know how to handle it.",Yes,Work
having trouble choosing meals for the week=getting everyone to agree!,Yes,Everyday Decision Making
he needs to get help when he needs it.,Yes,Family Issues
health of my parents. being long distance from them is worrying me more.,Yes,Family Issues
hello can i talk to you know about something important,No,Emotional Turmoil
"hello, i've been stressed out a lot from work.",Yes,Work
"hello, what's stressing me out right now is my son's homework, he got too much homework",Yes,School
hey friend i've been taking care of my mother on a daily and it has me stressed out.,Yes,Family Issues
Hey friend! This coronavirus has really been stressing me out with paying my bills.,Yes,Financial Problem
hey friend. i have been stressed out tremendously with my kids lately.,Yes,Family Issues
hey how did you find it  i just want to share my thoughts about my family situation to u,Yes,Family Issues
Hey John have been going thru a rough time mate. Feeling very low.,Yes,Work
hey just wanted to left you know that i checked on the dogs they are doing great! have f,No,Emotional Turmoil
"hey lady, i've been so stressed out about my podcast release party.",Yes,Everyday Decision Making
Hey my friend! I need to talk to you about a situation tthat's urgent.,Yes,Work
hey thanks for asking how im doing. for the most part kids and worrying their health,Yes,Family Issues
"Hey thanks for asking, I've been stressed about school but taking things day by day",Yes,Emotional Turmoil
hey thankyou for the taking time out of your day to check up on me,No,Family Issues
hey there! i am feeling really stuck at my job right now.,Yes,Work
hey there! im just having trouble finding a job right now.,Yes,Work
Hey!  This coronavirus is stressing me out!  When will it end?,Yes,Other
Hey! How are you?Thanks for asking. I feel stressed cooking everyday.,Yes,Other
hey! i had to wait in line for my coffee at starbucks for an hour this morning so that.,Yes,Everyday Decision Making
Hey! I think a situation that's been stressing me out is just finances.,Yes,Financial Problem
hey! i've been pretty stressed about waiting to hear back about internships.,Yes,School
hey! i've been stressing about school. everything is getting difficult.,Yes,School
"hey! my mom is stressing me out, again. i get so angry, theni feel bad about my anger wi",Yes,Family Issues
hey! right now financial aid is stressing me out,Yes,Financial Problem
hey! work has been stressing me out,Yes,Work
hey! work is making me crazy.,Yes,Work
"Hey, I am in the middle of final exams. Just found out if I fail this exam, I fail all.",Yes,School
"hey, i called you three times last week no answer, what's the problem?",Yes,Emotional Turmoil
"hey, i have been stressed about getting the dogs trained.",Yes,Other
"hey, my supervisor was on me again today. i don't think she likes me.",Yes,Work
"hey, want to grab a bite to eat and chat. could really use a break.",Yes,Social Relationships
hi,No,Other
"hi dear friend, I had stress because of my work . please give me idea to relax.",Yes,Work
hi dr..i just so stressful due to my project work.because the dead line is over .,Yes,Work
HI FRDS THANKYOU FOR TEXTINGS,Yes,Work
hi friend i am getting very stressfull work we meet in any hotel,Yes,Emotional Turmoil
hi friend i feel very stressed out about the amount of work that i have to do at work,Yes,Work
hi friend i had a problem a work and school ..shall we have lunch outside,Yes,Work
hi friend i have been having trouble falling asleep,Yes,Emotional Turmoil
hi friend school has been so stressful i am in finals and have 3 assignments due,Yes,School
"Hi Friend, Adulting has been stressing me out.",Yes,Everyday Decision Making
"Hi friend, I often had stress in deciding a meal. please help me how to handle this stre",Yes,Other
"hi friend, my job is stressing with making productivity, it seems to be their only focus",Yes,Work
"hi friend, recent days i had lot of work pressure. give me some idea to relax.",Yes,Work
"hi friend, school has been stressing me out. i feel like i'm drowning in the homework.",Yes,School
hi friend. give me some idea preparing a meal. this makes me streeful in deciding. give,Yes,Everyday Decision Making
hi friend. i had a stressful situations at home,Yes,Family Issues
hi friend. im recently some problems at house so i had a stressful,Yes,Family Issues
hi friend. i'm stressful at a work.,Yes,Work
hi friend. my relationship has been stressing me out. we are lacking communication.,Yes,Social Relationships
hi friends i m very stressful.,Yes,Social Relationships
"hi how are you,i feel very stressful",Yes,Family Issues
hi im stressing about school,Yes,School
Hi my friend. I need your help.,Yes,Other
hi there.  my job has been stressing me out.  we are so busy.,Yes,Work
hi there.  work is really stressing me out.,Yes,Work
hi too. i am just fine,No,Social Relationships
"Hi! How are you? Been good, but getting bored being inside all the time!",Yes,Social Relationships
hi! i have been really stressing out about my recent school load and doing my studies.,Yes,School
hi! i'd like to thank you as well for texting. i am stressed because i don't have money.,Yes,Financial Problem
hi! right now i'm struggling with financial problems since i just recently moved here.,Yes,Financial Problem
"hi, because of work pressure i got stressful. so, we relax to chat feel free",Yes,Work
"hi, how are you",No,Family Issues
"hi, i finished my project at work and waiting for something new.",Yes,Work
"hi, i'm upset with my husband hanging out with his drinking friends.",Yes,Family Issues
"hi, recently i've been stressed with my workload from school and work with little time.",Yes,School
"Hi, This COVID-19 pandemic is stressing me out lot. Not able to go out.",Yes,Emotional Turmoil
Hi. I have been stressed about the virus situation.,Yes,Other
hi. i have been stressing making ends meet this month. what about you?,Yes,Financial Problem
Hi. I've been stressing about making money.,Yes,Financial Problem
hi. just struggling a little bit with work,Yes,Work
hi. recently i have been stressing about a situation involving my child.,Yes,"Health, Fatigue, or Physical Pain"
hi.. how are you?,No,Emotional Turmoil
hiring speech judges.,No,Work
hmmm. let me think about that. this conflict with iran worries me.,Yes,Work
"holiday break ending for college, next semester is scary",Yes,School
holiday season,Yes,Other
home life is stressful. it's hard to take care of kids all day everyday.,Yes,Family Issues
home life sucksso many fights,Yes,Emotional Turmoil
homeschooling my kids because schools are closed,Yes,Family Issues
homework is killing me lately,Yes,Emotional Turmoil
homework is really stressing me out!,Yes,School
Homework is stressing me out,Yes,School
"homework, what are they doing at school if they are doing so much here.",Yes,School
"honestly i have been really stressed about my finances, i need another job..",Yes,Financial Problem
honestly not much,No,Other
Honestly right now the COVID-19,Yes,Work
"honestly, everyday i get stress out.",Yes,School
"honestly, my job has been super stressful",Yes,Work
"honestly, organizing social situations when most people are out of town or busy",Yes,Social Relationships
"honestly, school has been very stressful lately cause of my finals.",Yes,School
hope to pay my everday bills,Yes,Emotional Turmoil
hoping to beat the crazy shoppers that go shopping on black friday by shopping online,Yes,Other
hounded by robo calls,Yes,Other
HOUSE IS A MESS AND I AM TIRED,Yes,"Health, Fatigue, or Physical Pain"
how are you,No,Other
how are you feeling today?,No,Financial Problem
How are you holding up with stress?,No,Work
how busy i am at work.,Yes,Work
how can i help,No,Emotional Turmoil
how i have been eating this week.,Yes,Emotional Turmoil
how is your heath cotion no,No,Family Issues
how the coronavirus could damage the US economy,Yes,Financial Problem
how to get out of the relationship that i am in. i am tired of feeling used.,Yes,Emotional Turmoil
how to help my neighbor who is moving to pack up all her stuff,Yes,Social Relationships
how to improve my savings and pay off bills.,Yes,Financial Problem
"hubby's job has cut his hours, worried about next paycheck!",Yes,Financial Problem
"I am a stay-at-home mom with a toddler, this coronavirus thing has me scared for her.",Yes,Other
I am always having arguments with my girlfriend,Yes,Emotional Turmoil
i am anxious about whether my son is going to get a job offer.,Yes,Family Issues
i am applying to law schools but can't seem to focus on my application,Yes,School
i am buying a house and can't afford the $675 for an appraiser,Yes,Financial Problem
i am concerned about my success in this life. it's needed for us all.,Yes,Financial Problem
i am concerned about work slowing down and losing hours,Yes,Work
i am currently filing for unemployment and my student debt is not on hold,Yes,Financial Problem
"i am currently in a lot of debt, and can't go to school.",Yes,Financial Problem
I am currently stressed about the coronavirus and wheter I can work,Yes,Work
